X,Y,Z,formation
1113090.605,1246788.68,1547.5868,K1ls_mi

1113102.487,1246750.485,1547.5022,K1ls_mi
1113209.431,1246406.737,1550.1089,K1ls_mi
1113304.493,1246101.183,1554.3264,K1ls_mi
1113405.495,1245776.531,1558.5149,K1ls_mi

1113420.349,1245728.789,1558.6689,K1ls_mi
1113571.853,1245241.812,1558.6689,K1ls_mi
1113655.031,1244974.452,1561.397,K1ls_mi
1113726.327,1244745.286,1573.0892,K1ls_mi





1118141,1250112,1611,K1ls_ms
1117048,1253030,1695,K1ls_ms
1117740,1251894,1667,K1ls_ms
1108002,1247045,1489,K1ls_ms
1107607,1248017,1508,K1ls_ms
1107784,1249507,1533,K1ls_ms
1104512,1248749,1231,K1ls_ms
1104614,1252074,1171,K1ls_ms
1102314,1251255,838,K1ls_ms
1110105,1250782,1619,K1ls_ms





1104525,1247819,1129,K1ls_mi
1106972,1247076,1335,K1ls_mi
1105765,1249127,1349,K1ls_mi
1107012,1248445,1405,K1ls_mi
1108610,1248691,1642,K1ls_mi




1111292,1252037,1598,K1ls_ms
1110507,1252336,1573,K1ls_ms
1108907,1252932,1560,K1ls_ms
1115339,1246481,1651,K1ls_ms
1115762,1247663,1700,K1ls_ms
1116180,1248933,1633,K1ls_ms
1101741,1249855,778,K1ls_ms
1102898,1248716,1008,K1ls_ms
1101630,1247681,970,K1ls_ms
1103917,1245837,1145,K1ls_ms
1105099,1242557,1155,K1ls_ms
1105999,1241276,1226,K1ls_ms
1108335,1239276,1399,K1ls_ms
1110045,1239301,1543,K1ls_ms
1109578,1242775,1556,K1ls_ms
1109934,1241192,1494,K1ls_ms
1111697,1241908,1546,K1ls_ms
1110919,1242853,1512,K1ls_ms

1114480,1245257,1591,K1ls_ms

1110268,1254092,1551,K1ls_ms
1108038,1253261,1543,K1ls_ms




1107589,1253173,1485,K1ls_mm
1107903,1253418,1479,K1ls_mm
1106634,1248868,1472,K1ls_mm
1107566,1247503,1426,K1ls_mm
1106354,1246745,1335,K1ls_mm
1107452,1247060,1405,K1ls_mm





1108803,1253494,1497,K1ls_mm

1107393,1250119,1350,K1ls_mi
1109029,1250159,1450,K1ls_mi
1110220,1251508,1436,K1ls_mi
1107506,1252871,1393,K1ls_mi



1105078,1251962,1106,K1ls_mi
1103646,1251990,811,K1ls_mi




1100883,1248579,516,K1ls_mi
1101631,1248345,718,K1ls_mi
1100759,1250917,453,K1ls_mi
1101215,1251394,570,K1ls_mi
1102161,1251442,704,K1ls_mi
1102949,1251721,751,K1ls_mi
1105859,1250228,1253,K1ls_mi


1100073,1246886,509,K1ls_mi


1109974.377,1256805.127,1468.3603,K1ls_ms
1110024.878,1256642.802,1468.3603,K1ls_ms
1110105.086,1256384.99,1463.3704,K1ls_ms
1110194.206,1256098.533,1473.7925,K1ls_ms
1110298.179,1255764.333,1488.557,K1ls_ms


1109974.377,1256805.127,1430.1705,K1ls_mm
1110024.878,1256642.802,1426.6085,K1ls_mm
1110063.497,1256518.67,1429.1528,K1ls_mm

1109974.377,1256805.127,1303.3545,K1ls_mi
1110030.819,1256623.704,1304.6744,K1ls_mi



1101433,1248088,921.25928,F.LosSantos
1101629,1247685,957.69421,F.LosSantos
1102055,1247412,1006.12146,F.LosSantos
1102533,1247106,1023.04071,F.LosSantos
1102932,1246973,1058.46545,F.LosSantos
1103324,1246665,1077.77502,F.LosSantos
1103713,1246307,1114.20337,F.LosSantos
1103848,1246102,1144.74622,F.LosSantos
1103916,1245804,1139.58154,F.LosSantos
1103996,1245245,1132.60449,F.LosSantos
